,model,subpopulation,best_params,best_scores
0,HistGradientBoost,all,"{'min_samples_leaf': 2, 'max_depth': 50, 'loss': 'auto', 'learning_rate': 0.1}",0.3339426966481475
1,HistGradientBoost,194.0,"{'min_samples_leaf': 4, 'max_depth': 30, 'loss': 'categorical_crossentropy', 'learning_rate': 0.1}",0.2538790468499195
2,HistGradientBoost,140.0,"{'min_samples_leaf': 4, 'max_depth': 110, 'loss': 'log_loss', 'learning_rate': 0.5}",0.23244762844749392
3,HistGradientBoost,750.0,"{'min_samples_leaf': 2, 'max_depth': 50, 'loss': 'log_loss', 'learning_rate': 0.1}",0.2332378196760306
4,HistGradientBoost,463.0,"{'min_samples_leaf': 2, 'max_depth': 20, 'loss': 'categorical_crossentropy', 'learning_rate': 0.1}",0.23158547835020818
5,HistGradientBoost,302.0,"{'min_samples_leaf': 2, 'max_depth': 20, 'loss': 'auto', 'learning_rate': 0.1}",0.46316025858935156
0,LogRegression,all,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 1.0}",0.30657394143609434
1,LogRegression,194.0,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 59.94842503189409}",0.24969925077749958
2,LogRegression,140.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 21.544346900318832}",0.24134227863767088
3,LogRegression,750.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 3593.813663804626}",0.2211423126567962
4,LogRegression,463.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 7.742636826811269}",0.22293825955098953
5,LogRegression,302.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 3593.813663804626}",0.3551120861772388
0,RandomForest,all,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 100, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.31766517961558643
1,RandomForest,194.0,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 30, 'class_weight': 'balanced_subsample', 'bootstrap': False}",0.25286879552937963
2,RandomForest,140.0,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 40, 'class_weight': 'balanced', 'bootstrap': True}",0.24701098069848507
3,RandomForest,750.0,"{'n_estimators': 450, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 60, 'class_weight': 'balanced', 'bootstrap': True}",0.2336257322547511
4,RandomForest,463.0,"{'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'class_weight': 'balanced', 'bootstrap': True}",0.23832192767837568
5,RandomForest,302.0,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 80, 'class_weight': 'balanced', 'bootstrap': True}",0.4239802209735797
