model,subpopluation,best_params,best_scores
RandomForestClassifier,all,"{'n_estimators': 650, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 110, 'class_weight': 'balanced', 'bootstrap': True}",0.2466121202147609
RandomForestClassifier,194.0,"{'n_estimators': 750, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 90, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.1991456862378779
RandomForestClassifier,140.0,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 40, 'class_weight': 'balanced_subsample', 'bootstrap': True}",0.1854772430380458
RandomForestClassifier,750.0,"{'n_estimators': 650, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 40, 'class_weight': 'balanced', 'bootstrap': True}",0.1896072018022414
RandomForestClassifier,463.0,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 20, 'class_weight': 'balanced', 'bootstrap': True}",0.2021850731599656
RandomForestClassifier,302.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 100, 'class_weight': 'balanced', 'bootstrap': True}",0.2584758331356566
LogisticRegression,all,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 10000.0}",0.23116072608339552
LogisticRegression,194.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 7.742636826811269}",0.17559523018160525
LogisticRegression,140.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 59.94842503189409}",0.178040600627447
LogisticRegression,750.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 59.94842503189409}",0.17927213793095242
LogisticRegression,463.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 21.544346900318832}",0.17456037662464008
LogisticRegression,302.0,"{'solver': 'liblinear', 'penalty': 'l1', 'class_weight': 'balanced', 'C': 1.0}",0.2390827481701112
